"WB_name"	"WaterbodyID"	"area_pct"	"depth"
"Gullmarn centralbassäng"	"SE581700-113000"	10	20
"Gullmarn centralbassäng"	"SE581700-113000"	11	22
"Gullmarn centralbassäng"	"SE581700-113000"	12	24
"Gullmarn centralbassäng"	"SE581700-113000"	13	26
"Gullmarn centralbassäng"	"SE581700-113000"	14	28
"Gullmarn centralbassäng"	"SE581700-113000"	15	30
"Gullmarn centralbassäng"	"SE581700-113000"	16	32
"Gullmarn centralbassäng"	"SE581700-113000"	17	34
"Gullmarn centralbassäng"	"SE581700-113000"	18	36
"Gullmarn centralbassäng"	"SE581700-113000"	19	38
"Gullmarn centralbassäng"	"SE581700-113000"	20	40
"Gullmarn centralbassäng"	"SE581700-113000"	21	42
"Gullmarn centralbassäng"	"SE581700-113000"	22	44
"Gullmarn centralbassäng"	"SE581700-113000"	23	46
"Gullmarn centralbassäng"	"SE581700-113000"	24	48
"Gullmarn centralbassäng"	"SE581700-113000"	25	50
"Gullmarn centralbassäng"	"SE581700-113000"	26	52
"Gullmarn centralbassäng"	"SE581700-113000"	27	54
"Gullmarn centralbassäng"	"SE581700-113000"	28	56
"Gullmarn centralbassäng"	"SE581700-113000"	29	58
"Gullmarn centralbassäng"	"SE581700-113000"	30	60
"Gullmarn centralbassäng"	"SE581700-113000"	31	62
"Gullmarn centralbassäng"	"SE581700-113000"	32	64
"Gullmarn centralbassäng"	"SE581700-113000"	33	66
"Gullmarn centralbassäng"	"SE581700-113000"	34	68
"Gullmarn centralbassäng"	"SE581700-113000"	35	70
"Gullmarn centralbassäng"	"SE581700-113000"	36	72
"Gullmarn centralbassäng"	"SE581700-113000"	37	74
"Gullmarn centralbassäng"	"SE581700-113000"	38	76
"Gullmarn centralbassäng"	"SE581700-113000"	39	78
"Gullmarn centralbassäng"	"SE581700-113000"	40	80
"Gullmarn centralbassäng"	"SE581700-113000"	41	81
"Gullmarn centralbassäng"	"SE581700-113000"	42	82
"Gullmarn centralbassäng"	"SE581700-113000"	43	83
"Gullmarn centralbassäng"	"SE581700-113000"	44	84
"Gullmarn centralbassäng"	"SE581700-113000"	45	85
"Gullmarn centralbassäng"	"SE581700-113000"	46	86
"Gullmarn centralbassäng"	"SE581700-113000"	47	87
"Gullmarn centralbassäng"	"SE581700-113000"	48	88
"Gullmarn centralbassäng"	"SE581700-113000"	49	89
"Gullmarn centralbassäng"	"SE581700-113000"	50	90
"Gullmarn centralbassäng"	"SE581700-113000"	51	91
"Gullmarn centralbassäng"	"SE581700-113000"	52	92
"Gullmarn centralbassäng"	"SE581700-113000"	53	93
"Gullmarn centralbassäng"	"SE581700-113000"	54	94
"Gullmarn centralbassäng"	"SE581700-113000"	55	95
"Gullmarn centralbassäng"	"SE581700-113000"	56	96
"Gullmarn centralbassäng"	"SE581700-113000"	57	97
"Gullmarn centralbassäng"	"SE581700-113000"	58	98
"Gullmarn centralbassäng"	"SE581700-113000"	59	99
"Gullmarn centralbassäng"	"SE581700-113000"	60	100
"Gullmarn centralbassäng"	"SE581700-113000"	61	101
"Gullmarn centralbassäng"	"SE581700-113000"	62	102
"Gullmarn centralbassäng"	"SE581700-113000"	63	103
"Gullmarn centralbassäng"	"SE581700-113000"	64	104
"Gullmarn centralbassäng"	"SE581700-113000"	65	105
"Gullmarn centralbassäng"	"SE581700-113000"	66	106
"Gullmarn centralbassäng"	"SE581700-113000"	67	107
"Gullmarn centralbassäng"	"SE581700-113000"	68	108
"Gullmarn centralbassäng"	"SE581700-113000"	69	109
"Gullmarn centralbassäng"	"SE581700-113000"	70	110
"Gullmarn centralbassäng"	"SE581700-113000"	71	111
"Gullmarn centralbassäng"	"SE581700-113000"	72	112
"Gullmarn centralbassäng"	"SE581700-113000"	73	113
"Gullmarn centralbassäng"	"SE581700-113000"	74	114
"Gullmarn centralbassäng"	"SE581700-113000"	75	115
"Gullmarn centralbassäng"	"SE581700-113000"	76	116
"Gullmarn centralbassäng"	"SE581700-113000"	77	117
"Gullmarn centralbassäng"	"SE581700-113000"	78	118
"Gullmarn centralbassäng"	"SE581700-113000"	79	119
"Gullmarn centralbassäng"	"SE581700-113000"	80	120
"Gullmarn centralbassäng"	"SE581700-113000"	81	121
"Gullmarn centralbassäng"	"SE581700-113000"	82	122
"Gullmarn centralbassäng"	"SE581700-113000"	83	123
"Gullmarn centralbassäng"	"SE581700-113000"	84	124
"Gullmarn centralbassäng"	"SE581700-113000"	85	125
"Gullmarn centralbassäng"	"SE581700-113000"	86	126
"Gullmarn centralbassäng"	"SE581700-113000"	87	127
"Gullmarn centralbassäng"	"SE581700-113000"	88	128
"Gullmarn centralbassäng"	"SE581700-113000"	89	129
"Gullmarn centralbassäng"	"SE581700-113000"	90	130
"Gullmarn centralbassäng"	"SE581700-113000"	91	131
"Gullmarn centralbassäng"	"SE581700-113000"	92	132
"Gullmarn centralbassäng"	"SE581700-113000"	93	133
"Gullmarn centralbassäng"	"SE581700-113000"	94	134
"Gullmarn centralbassäng"	"SE581700-113000"	95	135
"Gullmarn centralbassäng"	"SE581700-113000"	96	136
"Gullmarn centralbassäng"	"SE581700-113000"	97	137
"Gullmarn centralbassäng"	"SE581700-113000"	98	138
"Gullmarn centralbassäng"	"SE581700-113000"	99	139
"Gullmarn centralbassäng"	"SE581700-113000"	100	140
